GAME_ID,SEASON_ID,PLAYER_ID,GAME_DATE,MATCHUP,WL,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,STL,BLK,TOV,PF,PTS,PLUS_MINUS,VIDEO_AVAILABLE,HOME,OPP,OPP_ID,NAME
0020900020,22009,201950,2009-10-30,PHI vs. MIL,W,7,1,1,1.0,0,0,0.0,0,0,0.0,0,1,1,0,0,0,1,2,2,-4,0,1,MIL,1610612749,
0020900053,22009,201950,2009-11-03,PHI vs. BOS,L,13,2,2,1.0,1,1,1.0,0,0,0.0,0,1,1,3,0,0,1,1,5,-12,0,1,BOS,1610612738,
0020900098,22009,201950,2009-11-09,PHI vs. PHX,L,15,3,5,0.6,2,3,0.667,0,0,0.0,0,3,3,2,2,0,1,1,8,11,0,1,PHX,1610612756,
0020900113,22009,201950,2009-11-11,PHI @ NJN,W,4,0,3,0.0,0,1,0.0,0,0,0.0,0,1,1,0,0,0,2,1,0,-2,0,0,NJN,0,
0020900125,22009,201950,2009-11-13,PHI vs. UTA,L,2,0,2,0.0,0,2,0.0,0,0,0.0,0,0,0,1,0,0,0,0,0,0,0,1,UTA,1610612762,
0020900139,22009,201950,2009-11-14,PHI @ CHI,L,6,0,1,0.0,0,1,0.0,0,0,0.0,0,1,1,0,0,0,1,0,0,-9,0,0,CHI,1610612741,
0020900174,22009,201950,2009-11-20,PHI vs. MEM,L,5,1,5,0.2,0,1,0.0,0,1,0.0,0,0,0,1,1,0,0,0,2,-6,0,1,MEM,1610612763,
0020900203,22009,201950,2009-11-24,PHI @ WAS,L,10,4,6,0.667,3,5,0.6,0,0,0.0,4,2,6,1,2,1,0,0,11,10,0,0,WAS,1610612764,
0020900210,22009,201950,2009-11-25,PHI @ BOS,L,34,4,13,0.308,0,3,0.0,2,4,0.5,1,2,3,6,0,0,4,5,10,-7,0,0,BOS,1610612738,
0020900224,22009,201950,2009-11-27,PHI vs. ATL,L,25,1,8,0.125,0,1,0.0,0,0,0.0,1,0,1,5,2,0,0,4,2,-12,0,1,ATL,1610612737,
0020900245,22009,201950,2009-11-29,PHI @ SAS,L,18,3,9,0.333,0,2,0.0,0,0,0.0,2,0,2,1,2,0,2,2,6,10,0,0,SAS,1610612759,
0020900250,22009,201950,2009-11-30,PHI @ DAL,L,25,3,7,0.429,0,1,0.0,2,2,1.0,0,0,0,4,0,0,4,1,8,-5,0,0,DAL,1610612742,
